response_time,event_start_ms,event_start_epoc,year,month,day
21.9621696472168,836,1526091380,2018,5,12
19.43050384521484,136,1526091382,2018,5,12
17.07918167114258,456,1526091384,2018,5,12
20.32806015014648,502,1526091387,2018,5,12
16.90090560913086,166,1526091392,2018,5,12
372.8198547363281,786,1526091396,2018,5,12
16.442512512207028,492,1526091399,2018,5,12
299.822265625,848,1526091400,2018,5,12
17.25968933105469,205,1526091401,2018,5,12
15.89729499816895,655,1526091401,2018,5,12
27.97260475158691,921,1526091403,2018,5,12
16.98373031616211,56,1526091408,2018,5,12
15.54766178131104,144,1526091413,2018,5,12
19.80512428283691,192,1526091413,2018,5,12
18.06954956054688,376,1526091415,2018,5,12
14.047279357910162,779,1526091424,2018,5,12
76.5501480102539,989,1526091429,2018,5,12
16.312200546264652,204,1526091433,2018,5,12
175.9339904785156,733,1526091436,2018,5,12
15.71757316589355,147,1526091440,2018,5,12
16.09708976745605,834,1526091440,2018,5,12
16.67712783813477,675,1526091442,2018,5,12
15.11001777648926,123,1526091445,2018,5,12
14.198726654052727,422,1526091446,2018,5,12
29.40651512145996,713,1526091446,2018,5,12
17.51273918151855,670,1526091447,2018,5,12
17.22879219055176,829,1526091449,2018,5,12
16.29502105712891,915,1526091457,2018,5,12
387.0477294921875,402,1526091462,2018,5,12
15.125,829,1526091464,2018,5,12
15.879651069641108,252,1526091465,2018,5,12
18.07690811157227,252,1526091467,2018,5,12
12.85347652435303,810,1526091472,2018,5,12
607.4820556640625,217,1526091474,2018,5,12
16.7473030090332,539,1526091476,2018,5,12
27.81929588317871,716,1526091477,2018,5,12
17.15029525756836,97,1526091485,2018,5,12
14.57315921783447,872,1526091486,2018,5,12
14.300012588500982,380,1526091489,2018,5,12
15.53695297241211,574,1526091490,2018,5,12
68.66616058349611,573,1526091492,2018,5,12
14.33946228027344,522,1526091491,2018,5,12
15.00615787506104,211,1526091497,2018,5,12
362.5809936523438,400,1526091499,2018,5,12
85.4067611694336,538,1526091499,2018,5,12
15.53361129760742,263,1526091500,2018,5,12
15.10469341278076,234,1526091501,2018,5,12
14.91831874847412,808,1526091503,2018,5,12
17.05886077880859,971,1526091505,2018,5,12
15.58197784423828,274,1526091508,2018,5,12
15.25393772125244,706,1526091508,2018,5,12
344.9960327148438,574,1526091509,2018,5,12
653.6870727539062,120,1526091511,2018,5,12
16.10476303100586,89,1526091512,2018,5,12
17.96714210510254,849,1526091514,2018,5,12
315.2916564941406,135,1526091516,2018,5,12
337.204833984375,946,1526091516,2018,5,12
26.33206558227539,884,1526091516,2018,5,12
31.38677597045898,309,1526091518,2018,5,12
104.9271926879883,996,1526091517,2018,5,12
16.403938293457028,256,1526091522,2018,5,12
15.288291931152338,350,1526091523,2018,5,12
15.90712070465088,273,1526091525,2018,5,12
25.94063568115234,818,1526091528,2018,5,12
16.02856063842773,454,1526091529,2018,5,12
210.9769744873047,290,1526091532,2018,5,12
15.11173820495605,581,1526091532,2018,5,12
14.74893856048584,201,1526091535,2018,5,12
47.38461303710938,815,1526091537,2018,5,12
15.62828540802002,961,1526091537,2018,5,12
14.890233993530268,210,1526091538,2018,5,12
29.94493865966797,961,1526091549,2018,5,12
16.87697982788086,625,1526091553,2018,5,12
15.18889808654785,239,1526091554,2018,5,12
